epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3435.01,0.74224,1.65771,0.5818,1.05258,0.88158,0.7869,0.83965,0.69327,0.87768,0.78499,0.83174,0.57588,0.89434,1.81765,0.77507,1.17213,0.00604,0.00604,0.00604
62,3483.16,0.74175,1.67901,0.57762,1.04753,0.89478,0.75302,0.83701,0.68793,0.88941,0.75006,0.82305,0.57487,0.90871,1.83558,0.8488,1.17462,0.005974,0.005974,0.005974
63,3531.4,0.73416,1.6663,0.58022,1.04221,0.90686,0.79835,0.85866,0.71705,0.89901,0.79146,0.84654,0.59642,0.84822,1.77393,0.75948,1.14051,0.005908,0.005908,0.005908
64,3579.42,0.73387,1.66359,0.5761,1.04572,0.93286,0.75806,0.84441,0.698,0.92471,0.7531,0.82915,0.57136,0.88408,1.84327,0.78702,1.17572,0.005842,0.005842,0.005842
65,3627.28,0.72733,1.64941,0.56585,1.04031,0.86561,0.7946,0.84058,0.69811,0.86406,0.78813,0.8261,0.57821,0.89118,1.91781,0.80053,1.17213,0.005776,0.005776,0.005776
66,3675.01,0.72047,1.66387,0.56061,1.04199,0.90894,0.79913,0.86156,0.71724,0.90845,0.79534,0.85008,0.59627,0.84762,1.75796,0.72901,1.14468,0.00571,0.00571,0.00571
67,3723.38,0.70768,1.60386,0.5492,1.02653,0.90593,0.73717,0.81938,0.66957,0.89234,0.73371,0.80724,0.55481,0.9327,1.88029,0.91386,1.20153,0.005644,0.005644,0.005644
68,3771.43,0.72092,1.63254,0.55995,1.03193,0.88392,0.79284,0.85262,0.71082,0.87437,0.78574,0.83532,0.58971,0.8514,1.77137,0.73536,1.14488,0.005578,0.005578,0.005578
69,3822.58,0.72156,1.64132,0.55883,1.03125,0.88924,0.78388,0.85102,0.71387,0.88651,0.77912,0.83605,0.59787,0.83375,1.75813,0.73201,1.14169,0.005512,0.005512,0.005512
70,3870.43,0.69925,1.58791,0.54315,1.02984,0.88025,0.79613,0.85207,0.70861,0.88809,0.76483,0.82852,0.58966,0.85329,1.77561,0.71949,1.14063,0.005446,0.005446,0.005446
71,3919.05,0.71505,1.61128,0.5507,1.02364,0.86281,0.78675,0.8444,0.69373,0.90578,0.74991,0.82793,0.57597,0.88574,1.77836,0.80648,1.17548,0.00538,0.00538,0.00538
72,3966.8,0.70119,1.6013,0.54347,1.03278,0.87795,0.80574,0.85049,0.7021,0.87321,0.79562,0.83504,0.5871,0.87104,1.79909,0.7343,1.16761,0.005314,0.005314,0.005314
73,4014.98,0.70363,1.59464,0.5397,1.02755,0.90318,0.78335,0.85731,0.72376,0.89903,0.77452,0.84393,0.60419,0.84269,1.74739,0.75742,1.15455,0.005248,0.005248,0.005248
74,4063.43,0.70877,1.60818,0.53808,1.0234,0.89039,0.80202,0.86052,0.71585,0.88967,0.788,0.84475,0.5953,0.8419,1.74717,0.73657,1.14533,0.005182,0.005182,0.005182
75,4111.6,0.68579,1.55885,0.52312,1.0163,0.90629,0.8081,0.87388,0.74021,0.90446,0.80308,0.85835,0.61714,0.8128,1.68922,0.70153,1.10746,0.005116,0.005116,0.005116
76,4160.05,0.67714,1.55073,0.51292,1.00918,0.90492,0.79237,0.85653,0.71954,0.90396,0.78406,0.84602,0.59816,0.84965,1.74676,0.72682,1.1544,0.00505,0.00505,0.00505
77,4207.91,0.68092,1.56628,0.52406,1.01709,0.90108,0.78511,0.85518,0.72128,0.88814,0.78285,0.84608,0.60832,0.83994,1.73857,0.72603,1.13684,0.004984,0.004984,0.004984
78,4255.79,0.6661,1.51881,0.50404,1.01145,0.88826,0.79647,0.85224,0.70847,0.88446,0.79052,0.83928,0.59417,0.84006,1.76065,0.74586,1.13779,0.004918,0.004918,0.004918
79,4303.64,0.66068,1.51944,0.50572,1.00825,0.88762,0.81532,0.86839,0.73422,0.88982,0.80266,0.85355,0.60843,0.81473,1.68114,0.6955,1.13327,0.004852,0.004852,0.004852
80,4351.41,0.66592,1.51523,0.49903,1.00324,0.89264,0.78351,0.85639,0.71748,0.88833,0.77935,0.845,0.59366,0.84559,1.77346,0.74414,1.14355,0.004786,0.004786,0.004786
81,4399.6,0.67422,1.52757,0.5108,1.00664,0.89651,0.79499,0.8621,0.72645,0.88755,0.78607,0.84362,0.60763,0.84688,1.75509,0.70721,1.15628,0.00472,0.00472,0.00472
82,4447.66,0.65775,1.50954,0.49619,0.99989,0.9024,0.80937,0.86868,0.73602,0.90201,0.80645,0.85639,0.62246,0.80834,1.71107,0.70212,1.10798,0.004654,0.004654,0.004654
83,4501.71,0.67002,1.54229,0.50316,0.99993,0.90515,0.81927,0.87714,0.74204,0.89794,0.81343,0.86525,0.62213,0.82166,1.70078,0.68325,1.13153,0.004588,0.004588,0.004588
84,4552.13,0.65279,1.48388,0.49664,0.9961,0.88882,0.81055,0.86507,0.73045,0.8839,0.80767,0.85249,0.61281,0.80917,1.70824,0.7003,1.11317,0.004522,0.004522,0.004522
85,4599.89,0.65106,1.49048,0.49198,0.99431,0.90641,0.79115,0.86073,0.72542,0.90571,0.78094,0.84876,0.60204,0.85629,1.73212,0.74058,1.15103,0.004456,0.004456,0.004456
86,4647.8,0.64407,1.47661,0.49209,0.99277,0.87796,0.81484,0.86507,0.73408,0.90455,0.78552,0.85164,0.61607,0.81738,1.72623,0.72081,1.1326,0.00439,0.00439,0.00439
87,4696.05,0.63802,1.45006,0.48017,0.99588,0.90694,0.81688,0.87126,0.73395,0.89771,0.80859,0.85284,0.61731,0.81486,1.72965,0.68284,1.12982,0.004324,0.004324,0.004324
